time,eta_linear,eta_superharmonic,eta_subharmonic,eta_nonlinear,phi_linear,phi_superharmonic,phi_subharmonic,phi_nonlinear,u_linear,u_superharmonic,u_subharmonic,u_nonlinear,w_linear,w_superharmonic,w_subharmonic,w_nonlinear
-240.211046700361,5.5915199371686e-12,-1.58431527083616e-23,-0.000619639641678996,-0.000619639636087476,-3.54918848718518e-11,-5.33146070368823e-24,-0.0264479882457409,-0.0264479882812328,-3.45416101663356e-12,-4.93348085023162e-24,-0.000684195062889495,-0.000684195066343656,-3.27736875076805e-12,1.89092457284433e-24,-0.000144341323278855,-0.000144341326556224
-240.01087082811,5.6845833466524e-12,7.7430066169212e-24,-0.000621745395221904,-0.00062174538953732,-4.65946995920322e-11,-2.50695179584942e-24,-0.0252301875165355,-0.0252301875631302,1.32920321054611e-12,-3.50370880178385e-24,-0.000686674561191172,-0.000686674559861969,1.92589782337385e-12,9.35308954966171e-24,-0.000139024116314193,-0.000139024114388296
-239.81069495586,5.71568544559801e-12,-2.64812579762381e-24,-0.000623771909795399,-0.000623771904079713,-5.81080843121644e-11,-9.92514058859556e-25,-0.0240083317665375,-0.0240083318246456,1.85859158134653e-12,-5.15019925656037e-25,-0.000689062857202242,-0.000689062855343651,-9.9307003455344e-13,9.98401025372058e-24,-0.000133668336608864,-0.000133668337601934
-239.61051908361,5.67914454031804e-12,3.51111923932905e-24,-0.000625718540631127,-0.000625718534951982,-6.94522882446333e-11,-1.59653797898058e-24,-0.0227825771047759,-0.0227825771742282,2.5793855459141e-12,2.52237813561977e-24,-0.000691359182707647,-0.000691359180128262,3.41113781674818e-13,2.32405131310917e-24,-0.000128275353924237,-0.000128275353583123
-239.41034321136,5.56961272473994e-12,-1.39441729152462e-24,-0.000627584666510627,-0.000627584660941015,-8.07697395476509e-11,-4.28968285904182e-24,-0.0215530808824847,-0.0215530809632545,2.81121602002478e-12,4.19777321299752e-24,-0.00069356279721791,-0.000693562794406694,-1.28282409453265e-12,-5.15765819293824e-24,-0.000122846552659094,-0.000122846553941918
-239.210167339109,5.38216911333828e-12,2.68520594767912e-24,-0.000629369690031732,-0.000629369684649563,-9.17064985660863e-11,-7.76520918877898e-24,-0.0203200016466332,-0.0203200017383397,3.09392383987968e-12,3.53736115669463e-24,-0.000695672988288772,-0.000695672985194849,-6.94949859147356e-13,-4.86593112578807e-24,-0.000117383331315932,-0.000117383332010882
-239.009991466859,5.11241611248712e-12,-1.14449125441096e-24,-0.000631073037864918,-0.000631073032752502,-1.02269099570496e-10,-1.09153065184049e-23,-0.0190834990929441,-0.0190834991952132,3.17767969372176e-12,1.29832297526471e-24,-0.000697689071828849,-0.000697689068651169,-1.93532191059596e-12,7.50255609822568e-25,-0.000111887101960481,-0.000111887103895803
-238.809815594609,4.75657786240693e-12,2.24751091639873e-24,-0.000632694160999492,-0.000632694156242914,-1.1215317813236e-10,-1.26256273520286e-23,-0.0178437340184175,-0.0178437341305707,3.26535078304659e-12,-9.04841669074705e-25,-0.000699610392395166,-0.000699610389129815,-1.67443050493524e-12,3.5671906975688e-24,-0.000106359289674683,-0.000106359291349114
-238.609639722358,4.31159987759267e-12,-1.22359109903446e-24,-0.000634232534979472,-0.000634232530667872,-1.21308448778268e-10,-1.31649762879289e-23,-0.0166008682733842,-0.0166008683946926,3.22882338201583e-12,-1.6644135823579e-24,-0.000701436323476406,-0.000701436320247583,-2.7357996473546e-12,4.46770032759378e-25,-0.000100801332003409,-0.000100801334739209
-238.409463850108,3.7752488107793e-12,1.80191830963555e-24,-0.000635687660129048,-0.000635687656353799,-1.29449960492223e-10,-1.29921644501186e-23,-0.0153550647131028,-0.0153550648425528,3.17136441592871e-12,-7.09592162929552e-25,-0.000703166267763738,-0.000703166264592374,-2.65612771261019e-12,-3.49857645562416e-24,-9.52146783951714e-05,-9.52146810512992e-05
